%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4
1698139383147633075,14867,1698139383147633075,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137917747494935,213,1698137917747494935,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383247417926,14868,1698139383247417926,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137917847599029,214,1698137917847599029,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383347564935,14869,1698139383347564935,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137917947587013,215,1698137917947587013,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383447582960,14870,1698139383447582960,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918047594070,216,1698137918047594070,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383547461986,14871,1698139383547461986,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918147339105,217,1698137918147339105,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383647425889,14872,1698139383647425889,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918247415065,218,1698137918247415065,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383747596979,14873,1698139383747596979,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918347577095,219,1698137918347577095,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383847457885,14874,1698139383847457885,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918447462081,220,1698137918447462081,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139383947499990,14875,1698139383947499990,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918547480106,221,1698137918547480106,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384047478914,14876,1698139384047478914,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918647517919,222,1698137918647517919,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384147561073,14877,1698139384147561073,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918747625112,223,1698137918747625112,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384247572898,14878,1698139384247572898,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698137918847498893,224,1698137918847498893,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
1698139384347481012,14879,1698139384347481012,,motortom2m,joint2,joint4,joint6,end,0.0,0.0,0.0,0.0,0.0
